,paragraph,class_id,ttr,hapax_rate,adj_noun_ratio,average_depth,em_dash_density,semicolon_density,exclamation_density,other_punctuations_density,flesch_kincaid_grade_level
0,"The said Eliza, John, and Georgiana were now clustered round their mama in the drawing-room: she lay reclined on a sofa by the fireside, and with her darlings about her (for the time neither quarrelling nor crying) looked perfectly happy. Me, she had dispensed from joining the group; saying, “She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.”",1,0.7416666666666667,0.6166666666666667,0.8125,8.5,0.013793103448275862,0.013793103448275862,0.0,0.14482758620689656,25.608333333333338
1,"Folds of scarlet drapery shut in my view to the right hand; to the left were the clear panes of glass, protecting, but not separating me from the drear November day. At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon. Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.",1,0.8024691358024691,0.7283950617283951,0.45454545454545453,6.0,0.0,0.021505376344086023,0.0,0.10752688172043011,10.38197530864198
2,"Nor could I pass unnoticed the suggestion of the bleak shores of Lapland, Siberia, Spitzbergen, Nova Zembla, Iceland, Greenland, with “the vast sweep of the Arctic Zone, and those forlorn regions of dreary space,—that reservoir of frost and snow, where firm fields of ice, the accumulation of centuries of winters, glazed in Alpine heights above heights, surround the pole, and concentre the multiplied rigours of extreme cold.” Of these death-white realms I formed an idea of my own: shadowy, like all the half-comprehended notions that float dim through children’s brains, but strangely impressive. The words in these introductory pages connected themselves with the succeeding vignettes, and gave significance to the rock standing up alone in a sea of billow and spray; to the broken boat stranded on a desolate coast; to the cold and ghastly moon glancing through bars of cloud at a wreck just sinking.",1,0.7210884353741497,0.6394557823129252,0.38461538461538464,9.666666666666666,0.0,0.011494252873563218,0.0,0.13218390804597702,20.05605442176871
3,"Each picture told a story; mysterious often to my undeveloped understanding and imperfect feelings, yet ever profoundly interesting: as interesting as the tales Bessie sometimes narrated on winter evenings, when she chanced to be in good humour; and when, having brought her ironing-table to the nursery hearth, she allowed us to sit about it, and while she got up Mrs. Reed’s lace frills, and crimped her nightcap borders, fed our eager attention with passages of love and adventure taken from old fairy tales and other ballads; or (as at a later period I discovered) from the pages of Pamela, and Henry, Earl of Moreland.",1,0.7788461538461539,0.6634615384615384,0.4583333333333333,11.0,0.0,0.024390243902439025,0.0,0.11382113821138211,42.67
4,"John Reed was a schoolboy of fourteen years old; four years older than I, for I was but ten: large and stout for his age, with a dingy and unwholesome skin; thick lineaments in a spacious visage, heavy limbs and large extremities. He gorged himself habitually at table, which made him bilious, and gave him a dim and bleared eye and flabby cheeks. He ought now to have been at school; but his mama had taken him home for a month or two, “on account of his delicate health.” Mr. Miles, the master, affirmed that he would do very well if he had fewer cakes and sweetmeats sent him from home; but the mother’s heart turned from an opinion so harsh, and inclined rather to the more refined idea that John’s sallowness was owing to over-application and, perhaps, to pining after home.",1,0.704225352112676,0.5633802816901409,0.5862068965517241,7.5,0.0,0.023809523809523808,0.0,0.1130952380952381,13.545140845070424
5,"John had not much affection for his mother and sisters, and an antipathy to me. He bullied and punished me; not two or three times in the week, nor once or twice in the day, but continually: every nerve I had feared him, and every morsel of flesh in my bones shrank when he came near. There were moments when I was bewildered by the terror he inspired, because I had no appeal whatever against either his menaces or his inflictions; the servants did not like to offend their young master by taking my part against him, and Mrs. Reed was blind and deaf on the subject: she never saw him strike or heard him abuse me, though he did both now and then in her very presence, more frequently, however, behind her back.",1,0.6917293233082706,0.5413533834586466,0.3,5.666666666666667,0.0,0.013245033112582781,0.0,0.09933774834437085,16.96015037593985
6,"Habitually obedient to John, I came up to his chair: he spent some three minutes in thrusting out his tongue at me as far as he could without damaging the roots: I knew he would soon strike, and while dreading the blow, I mused on the disgusting and ugly appearance of him who would presently deal it. I wonder if he read that notion in my face; for, all at once, without speaking, he struck suddenly and strongly. I tottered, and on regaining my equilibrium retired back a step or two from his chair.",1,0.7446808510638298,0.5957446808510638,0.2727272727272727,6.0,0.0,0.009345794392523364,0.0,0.11214953271028037,12.447021276595745
7,"“You have no business to take our books; you are a dependent, mama says; you have no money; your father left you none; you ought to beg, and not to live here with gentlemen’s children like us, and eat the same meals we do, and wear clothes at our mama’s expense. Now, I’ll teach you to rummage my bookshelves: for they _are_ mine; all the house belongs to me, or will do in a few years. Go and stand by the door, out of the way of the mirror and the windows.”",1,0.717391304347826,0.5869565217391305,0.15789473684210525,7.0,0.0,0.043478260869565216,0.0,0.13043478260869565,10.22217391304348
8,"He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed with a desperate thing. I really saw in him a tyrant, a murderer. I felt a drop or two of blood from my head trickle down my neck, and was sensible of somewhat pungent suffering: these sensations for the time predominated over fear, and I received him in frantic sort. I don’t very well know what I did with my hands, but he called me “Rat! Rat!” and bellowed out aloud. Aid was near him: Eliza and Georgiana had run for Mrs. Reed, who was gone upstairs: she now came upon the scene, followed by Bessie and her maid Abbot. We were parted: I heard the words—",1,0.7154471544715447,0.5853658536585366,0.2222222222222222,4.833333333333333,0.006802721088435374,0.0,0.013605442176870748,0.1292517006802721,7.0830487804878075
9,"The red-room was a square chamber, very seldom slept in, I might say never, indeed, unless when a chance influx of visitors at Gateshead Hall rendered it necessary to turn to account all the accommodation it contained: yet it was one of the largest and stateliest chambers in the mansion. A bed supported on massive pillars of mahogany, hung with curtains of deep red damask, stood out like a tabernacle in the centre; the two large windows, with their blinds always drawn down, were half shrouded in festoons and falls of similar drapery; the carpet was red; the table at the foot of the bed was covered with a crimson cloth; the walls were a soft fawn colour with a blush of pink in it; the wardrobe, the toilet-table, the chairs were of darkly polished old mahogany. Out of these deep surrounding shades rose high, and glared white, the piled-up mattresses and pillows of the bed, spread with a snowy Marseilles counterpane. Scarcely less prominent was an ample cushioned easy-chair near the head of the bed, also white, with a footstool before it; and looking, as I thought, like a pale throne.",1,0.6275510204081632,0.5255102040816326,0.44680851063829785,7.0,0.0,0.02631578947368421,0.0,0.11403508771929824,18.99244897959184
10,"This room was chill, because it seldom had a fire; it was silent, because remote from the nursery and kitchen; solemn, because it was known to be so seldom entered. The house-maid alone came here on Saturdays, to wipe from the mirrors and the furniture a week’s quiet dust: and Mrs. Reed herself, at far intervals, visited it to review the contents of a certain secret drawer in the wardrobe, where were stored divers parchments, her jewel-casket, and a miniature of her deceased husband; and in those last words lies the secret of the red-room—the spell which kept it so lonely in spite of its grandeur.",1,0.6697247706422018,0.5321100917431193,0.4230769230769231,9.5,0.007692307692307693,0.023076923076923078,0.0,0.11538461538461539,20.92922018348624
11,"My seat, to which Bessie and the bitter Miss Abbot had left me riveted, was a low ottoman near the marble chimney-piece; the bed rose before me; to my right hand there was the high, dark wardrobe, with subdued, broken reflections varying the gloss of its panels; to my left were the muffled windows; a great looking-glass between them repeated the vacant majesty of the bed and room. I was not quite sure whether they had locked the door; and when I dared move, I got up and went to see. Alas! yes: no jail was ever more secure. Returning, I had to cross before the looking-glass; my fascinated glance involuntarily explored the depth it revealed. All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers. I returned to my stool.",1,0.6601941747572816,0.5485436893203883,0.5116279069767442,4.625,0.0,0.024896265560165973,0.004149377593360996,0.11203319502074689,10.204927184466023
12,"I was a discord in Gateshead Hall: I was like nobody there; I had nothing in harmony with Mrs. Reed or her children, or her chosen vassalage. If they did not love me, in fact, as little did I love them. They were not bound to regard with affection a thing that could not sympathise with one amongst them; a heterogeneous thing, opposed to them in temperament, in capacity, in propensities; a useless thing, incapable of serving their interest, or adding to their pleasure; a noxious thing, cherishing the germs of indignation at their treatment, of contempt of their judgment. I know that had I been a sanguine, brilliant, careless, exacting, handsome, romping child—though equally dependent and friendless—Mrs. Reed would have endured my presence more complacently; her children would have entertained for me more of the cordiality of fellow-feeling; the servants would have been less prone to make me the scapegoat of the nursery.",1,0.6129032258064516,0.44516129032258067,0.43333333333333335,7.5,0.010752688172043012,0.03225806451612903,0.0,0.11290322580645161,16.575403225806458
13,"The next thing I remember is, waking up with a feeling as if I had had a frightful nightmare, and seeing before me a terrible red glare, crossed with thick black bars. I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all-predominating sense of terror confused my faculties. Ere long, I became aware that some one was handling me; lifting me up and supporting me in a sitting posture, and that more tenderly than I had ever been raised or upheld before. I rested my head against a pillow or an arm, and felt easy.",1,0.7027027027027027,0.5675675675675675,0.45,5.5,0.0,0.007751937984496124,0.0,0.13178294573643412,11.603671171171175
14,"I felt an inexpressible relief, a soothing conviction of protection and security, when I knew that there was a stranger in the room, an individual not belonging to Gateshead, and not related to Mrs. Reed. Turning from Bessie (though her presence was far less obnoxious to me than that of Abbot, for instance, would have been), I scrutinised the face of the gentleman: I knew him; it was Mr. Lloyd, an apothecary, sometimes called in by Mrs. Reed when the servants were ailing: for herself and the children she employed a physician.",1,0.7078651685393258,0.5393258426966292,0.2,8.5,0.0,0.009259259259259259,0.0,0.1388888888888889,18.60320224719101
15,"I pronounced his name, offering him at the same time my hand: he took it, smiling and saying, “We shall do very well by-and-by.” Then he laid me down, and addressing Bessie, charged her to be very careful that I was not disturbed during the night. Having given some further directions, and intimated that he should call again the next day, he departed; to my grief: I felt so sheltered and befriended while he sat in the chair near my pillow; and as he closed the door after him, all the room darkened and my heart again sank: inexpressible sadness weighed it down.",1,0.7238095238095238,0.6,0.5,6.333333333333333,0.0,0.016,0.0,0.144,13.231428571428573
16,"Next day, by noon, I was up and dressed, and sat wrapped in a shawl by the nursery hearth. I felt physically weak and broken down: but my worse ailment was an unutterable wretchedness of mind: a wretchedness which kept drawing from me silent tears; no sooner had I wiped one salt drop from my cheek than another followed. Yet, I thought, I ought to have been happy, for none of the Reeds were there, they were all gone out in the carriage with their mama. Abbot, too, was sewing in another room, and Bessie, as she moved hither and thither, putting away toys and arranging drawers, addressed to me every now and then a word of unwonted kindness. This state of things should have been to me a paradise of peace, accustomed as I was to a life of ceaseless reprimand and thankless fagging; but, in fact, my racked nerves were now in such a state that no calm could soothe, and no pleasure excite them agreeably.",1,0.6845238095238095,0.5535714285714286,0.22857142857142856,6.6,0.0,0.010309278350515464,0.0,0.12371134020618557,12.334238095238096
17,"How much I wished to reply fully to this question! How difficult it was to frame any answer! Children can feel, but they cannot analyse their feelings; and if the analysis is partially effected in thought, they know not how to express the result of the process in words. Fearful, however, of losing this first and only opportunity of relieving my grief by imparting it, I, after a disturbed pause, contrived to frame a meagre, though, as far as it went, true response.",1,0.7380952380952381,0.5595238095238095,0.35714285714285715,5.25,0.0,0.010101010101010102,0.020202020202020204,0.12121212121212122,9.457142857142859
18,"Again I reflected: I scarcely knew what school was: Bessie sometimes spoke of it as a place where young ladies sat in the stocks, wore backboards, and were expected to be exceedingly genteel and precise: John Reed hated his school, and abused his master; but John Reed’s tastes were no rule for mine, and if Bessie’s accounts of school-discipline (gathered from the young ladies of a family where she had lived before coming to Gateshead) were somewhat appalling, her details of certain accomplishments attained by these same young ladies were, I thought, equally attractive. She boasted of beautiful paintings of landscapes and flowers by them executed; of songs they could sing and pieces they could play, of purses they could net, of French books they could translate; till my spirit was moved to emulation as I listened. Besides, school would be a complete change: it implied a long journey, an entire separation from Gateshead, an entrance into a new life.",1,0.6708074534161491,0.5093167701863354,0.46875,8.333333333333334,0.0,0.015957446808510637,0.0,0.11702127659574468,21.46422360248447
